start date,end date,debt volume
2004-01-04 00:00:00,2004-01-10 00:00:00,31
2004-01-11 00:00:00,2004-01-17 00:00:00,32
2004-01-18 00:00:00,2004-01-24 00:00:00,33
2004-01-25 00:00:00,2004-01-31 00:00:00,53
2004-02-01 00:00:00,2004-02-07 00:00:00,74
2004-02-08 00:00:00,2004-02-14 00:00:00,100
2004-02-15 00:00:00,2004-02-21 00:00:00,41
2004-02-22 00:00:00,2004-02-28 00:00:00,0
2004-02-29 00:00:00,2004-03-06 00:00:00,0
2004-03-07 00:00:00,2004-03-13 00:00:00,0
2004-03-14 00:00:00,2004-03-20 00:00:00,0
2004-03-21 00:00:00,2004-03-27 00:00:00,0
2004-03-28 00:00:00,2004-04-03 00:00:00,24
2004-04-04 00:00:00,2004-04-10 00:00:00,32
2004-04-11 00:00:00,2004-04-17 00:00:00,34
2004-04-18 00:00:00,2004-04-24 00:00:00,37
2004-04-25 00:00:00,2004-05-01 00:00:00,39
2004-05-02 00:00:00,2004-05-08 00:00:00,42
2004-05-09 00:00:00,2004-05-15 00:00:00,24
2004-05-16 00:00:00,2004-05-22 00:00:00,24
2004-05-23 00:00:00,2004-05-29 00:00:00,32
2004-05-30 00:00:00,2004-06-05 00:00:00,27
2004-06-06 00:00:00,2004-06-12 00:00:00,20
2004-06-13 00:00:00,2004-06-19 00:00:00,26
2004-06-20 00:00:00,2004-06-26 00:00:00,29
2004-06-27 00:00:00,2004-07-03 00:00:00,31
2004-07-04 00:00:00,2004-07-10 00:00:00,34
2004-07-11 00:00:00,2004-07-17 00:00:00,25
2004-07-18 00:00:00,2004-07-24 00:00:00,36
2004-07-25 00:00:00,2004-07-31 00:00:00,31
2004-08-01 00:00:00,2004-08-07 00:00:00,23
2004-08-08 00:00:00,2004-08-14 00:00:00,22
2004-08-15 00:00:00,2004-08-21 00:00:00,41
2004-08-22 00:00:00,2004-08-28 00:00:00,35
2004-08-29 00:00:00,2004-09-04 00:00:00,31
