"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"1","2004-01-04 00:00:00","2004-01-10 00:00:00",25,NA,NA,NA
"2","2004-01-11 00:00:00","2004-01-17 00:00:00",26,NA,NA,1
"3","2004-01-18 00:00:00","2004-01-24 00:00:00",25,NA,-0.5,-1
"4","2004-01-25 00:00:00","2004-01-31 00:00:00",25,-0.333333333333332,-0.5,0
"5","2004-02-01 00:00:00","2004-02-07 00:00:00",23,-2.33333333333333,-2,-2
"6","2004-02-08 00:00:00","2004-02-14 00:00:00",24,-0.333333333333332,0,1
"7","2004-02-15 00:00:00","2004-02-21 00:00:00",24,0,0.5,0
"8","2004-02-22 00:00:00","2004-02-28 00:00:00",25,1.33333333333333,1,1
"9","2004-02-29 00:00:00","2004-03-06 00:00:00",24,-0.333333333333332,-0.5,-1
"10","2004-03-07 00:00:00","2004-03-13 00:00:00",24,-0.333333333333332,-0.5,0
"11","2004-03-14 00:00:00","2004-03-20 00:00:00",24,-0.333333333333332,0,0
"12","2004-03-21 00:00:00","2004-03-27 00:00:00",22,-2,-2,-2
"13","2004-03-28 00:00:00","2004-04-03 00:00:00",23,-0.333333333333332,0,1
"14","2004-04-04 00:00:00","2004-04-10 00:00:00",23,0,0.5,0
"15","2004-04-11 00:00:00","2004-04-17 00:00:00",24,1.33333333333333,1,1
"16","2004-04-18 00:00:00","2004-04-24 00:00:00",23,-0.333333333333332,-0.5,-1
"17","2004-04-25 00:00:00","2004-05-01 00:00:00",23,-0.333333333333332,-0.5,0
"18","2004-05-02 00:00:00","2004-05-08 00:00:00",22,-1.33333333333333,-1,-1
"19","2004-05-09 00:00:00","2004-05-15 00:00:00",23,0.333333333333332,0.5,1
"20","2004-05-16 00:00:00","2004-05-22 00:00:00",22,-0.666666666666668,-0.5,-1
"21","2004-05-23 00:00:00","2004-05-29 00:00:00",23,0.666666666666668,0.5,1
"22","2004-05-30 00:00:00","2004-06-05 00:00:00",23,0.333333333333332,0.5,0
"23","2004-06-06 00:00:00","2004-06-12 00:00:00",24,1.33333333333333,1,1
"24","2004-06-13 00:00:00","2004-06-19 00:00:00",22,-1.33333333333333,-1.5,-2
"25","2004-06-20 00:00:00","2004-06-26 00:00:00",23,0,0,1
"26","2004-06-27 00:00:00","2004-07-03 00:00:00",25,2,2.5,2
"27","2004-07-04 00:00:00","2004-07-10 00:00:00",21,-2.33333333333333,-3,-4
"28","2004-07-11 00:00:00","2004-07-17 00:00:00",23,0,0,2
"29","2004-07-18 00:00:00","2004-07-24 00:00:00",23,0,1,0
"30","2004-07-25 00:00:00","2004-07-31 00:00:00",25,2.66666666666667,2,2
"31","2004-08-01 00:00:00","2004-08-07 00:00:00",23,-0.666666666666668,-1,-2
"32","2004-08-08 00:00:00","2004-08-14 00:00:00",20,-3.66666666666667,-4,-3
"33","2004-08-15 00:00:00","2004-08-21 00:00:00",21,-1.66666666666667,-0.5,1
"34","2004-08-22 00:00:00","2004-08-28 00:00:00",22,0.666666666666668,1.5,1
"35","2004-08-29 00:00:00","2004-09-04 00:00:00",21,0,-0.5,-1
"36","2004-09-05 00:00:00","2004-09-11 00:00:00",23,1.66666666666667,1.5,2
"37","2004-09-12 00:00:00","2004-09-18 00:00:00",24,2,2,1
"38","2004-09-19 00:00:00","2004-09-25 00:00:00",24,1.33333333333333,0.5,0
"39","2004-09-26 00:00:00","2004-10-02 00:00:00",25,1.33333333333333,1,1
"40","2004-10-03 00:00:00","2004-10-09 00:00:00",24,-0.333333333333332,-0.5,-1
"41","2004-10-10 00:00:00","2004-10-16 00:00:00",26,1.66666666666667,1.5,2
"42","2004-10-17 00:00:00","2004-10-23 00:00:00",24,-1,-1,-2
"43","2004-10-24 00:00:00","2004-10-30 00:00:00",24,-0.666666666666668,-1,0
"44","2004-10-31 00:00:00","2004-11-06 00:00:00",27,2.33333333333333,3,3
"45","2004-11-07 00:00:00","2004-11-13 00:00:00",25,0,-0.5,-2
"46","2004-11-14 00:00:00","2004-11-20 00:00:00",28,2.66666666666667,2,3
"47","2004-11-21 00:00:00","2004-11-27 00:00:00",22,-4.66666666666667,-4.5,-6
"48","2004-11-28 00:00:00","2004-12-04 00:00:00",24,-1,-1,2
"49","2004-12-05 00:00:00","2004-12-11 00:00:00",25,0.333333333333332,2,1
"50","2004-12-12 00:00:00","2004-12-18 00:00:00",20,-3.66666666666667,-4.5,-5
"51","2004-12-19 00:00:00","2004-12-25 00:00:00",17,-6,-5.5,-3
"52","2004-12-26 00:00:00","2005-01-01 00:00:00",20,-0.666666666666668,1.5,3
"53","2005-01-02 00:00:00","2005-01-08 00:00:00",24,5,5.5,4
"54","2005-01-09 00:00:00","2005-01-15 00:00:00",24,3.66666666666667,2,0
"55","2005-01-16 00:00:00","2005-01-22 00:00:00",24,1.33333333333333,0,0
"56","2005-01-23 00:00:00","2005-01-29 00:00:00",24,0,0,0
"57","2005-01-30 00:00:00","2005-02-05 00:00:00",23,-1,-1,-1
"58","2005-02-06 00:00:00","2005-02-12 00:00:00",23,-0.666666666666668,-0.5,0
"59","2005-02-13 00:00:00","2005-02-19 00:00:00",22,-1.33333333333333,-1,-1
"60","2005-02-20 00:00:00","2005-02-26 00:00:00",24,1.33333333333333,1.5,2
"61","2005-02-27 00:00:00","2005-03-05 00:00:00",25,2,2,1
"62","2005-03-06 00:00:00","2005-03-12 00:00:00",23,-0.666666666666668,-1.5,-2
"63","2005-03-13 00:00:00","2005-03-19 00:00:00",22,-2,-2,-1
"64","2005-03-20 00:00:00","2005-03-26 00:00:00",22,-1.33333333333333,-0.5,0
"65","2005-03-27 00:00:00","2005-04-02 00:00:00",22,-0.333333333333332,0,0
"66","2005-04-03 00:00:00","2005-04-09 00:00:00",23,1,1,1
"67","2005-04-10 00:00:00","2005-04-16 00:00:00",25,2.66666666666667,2.5,2
"68","2005-04-17 00:00:00","2005-04-23 00:00:00",23,-0.333333333333332,-1,-2
"69","2005-04-24 00:00:00","2005-04-30 00:00:00",25,1.33333333333333,1,2
"70","2005-05-01 00:00:00","2005-05-07 00:00:00",23,-1.33333333333333,-1,-2
"71","2005-05-08 00:00:00","2005-05-14 00:00:00",22,-1.66666666666667,-2,-1
"72","2005-05-15 00:00:00","2005-05-21 00:00:00",22,-1.33333333333333,-0.5,0
"73","2005-05-22 00:00:00","2005-05-28 00:00:00",20,-2.33333333333333,-2,-2
"74","2005-05-29 00:00:00","2005-06-04 00:00:00",21,-0.333333333333332,0,1
"75","2005-06-05 00:00:00","2005-06-11 00:00:00",20,-1,-0.5,-1
"76","2005-06-12 00:00:00","2005-06-18 00:00:00",23,2.66666666666667,2.5,3
"77","2005-06-19 00:00:00","2005-06-25 00:00:00",22,0.666666666666668,0.5,-1
"78","2005-06-26 00:00:00","2005-07-02 00:00:00",20,-1.66666666666667,-2.5,-2
"79","2005-07-03 00:00:00","2005-07-09 00:00:00",20,-1.66666666666667,-1,0
"80","2005-07-10 00:00:00","2005-07-16 00:00:00",22,1.33333333333333,2,2
"81","2005-07-17 00:00:00","2005-07-23 00:00:00",22,1.33333333333333,1,0
"82","2005-07-24 00:00:00","2005-07-30 00:00:00",21,-0.333333333333332,-1,-1
"83","2005-07-31 00:00:00","2005-08-06 00:00:00",21,-0.666666666666668,-0.5,0
"84","2005-08-07 00:00:00","2005-08-13 00:00:00",19,-2.33333333333333,-2,-2
"85","2005-08-14 00:00:00","2005-08-20 00:00:00",20,-0.333333333333332,0,1
"86","2005-08-21 00:00:00","2005-08-27 00:00:00",20,0,0.5,0
"87","2005-08-28 00:00:00","2005-09-03 00:00:00",21,1.33333333333333,1,1
"88","2005-09-04 00:00:00","2005-09-10 00:00:00",19,-1.33333333333333,-1.5,-2
"89","2005-09-11 00:00:00","2005-09-17 00:00:00",23,3,3,4
"90","2005-09-18 00:00:00","2005-09-24 00:00:00",23,2,2,0
"91","2005-09-25 00:00:00","2005-10-01 00:00:00",21,-0.666666666666668,-2,-2
"92","2005-10-02 00:00:00","2005-10-08 00:00:00",21,-1.33333333333333,-1,0
"93","2005-10-09 00:00:00","2005-10-15 00:00:00",22,0.333333333333332,1,1
"94","2005-10-16 00:00:00","2005-10-22 00:00:00",20,-1.33333333333333,-1.5,-2
"95","2005-10-23 00:00:00","2005-10-29 00:00:00",21,0,0,1
"96","2005-10-30 00:00:00","2005-11-05 00:00:00",21,0,0.5,0
"97","2005-11-06 00:00:00","2005-11-12 00:00:00",21,0.333333333333332,0,0
"98","2005-11-13 00:00:00","2005-11-19 00:00:00",22,1,1,1
"99","2005-11-20 00:00:00","2005-11-26 00:00:00",17,-4.33333333333333,-4.5,-5
"100","2005-11-27 00:00:00","2005-12-03 00:00:00",21,1,1.5,4
"101","2005-12-04 00:00:00","2005-12-10 00:00:00",21,1,2,0
"102","2005-12-11 00:00:00","2005-12-17 00:00:00",20,0.333333333333332,-1,-1
"103","2005-12-18 00:00:00","2005-12-24 00:00:00",15,-5.66666666666667,-5.5,-5
"104","2005-12-25 00:00:00","2005-12-31 00:00:00",18,-0.666666666666668,0.5,3
"105","2006-01-01 00:00:00","2006-01-07 00:00:00",23,5.33333333333333,6.5,5
