"","start.date","debt.volume","change"
"1","2013-08-20 00:00:00",20,NA
"2","2013-08-21 00:00:00",20,0
"3","2013-08-22 00:00:00",20,0
"4","2013-08-23 00:00:00",21,1
"5","2013-08-24 00:00:00",16,-5
"6","2013-08-25 00:00:00",15,-1
"7","2013-08-26 00:00:00",20,5
"8","2013-08-27 00:00:00",24,4
"9","2013-08-28 00:00:00",24,0
"10","2013-08-29 00:00:00",22,-2
"11","2013-08-30 00:00:00",20,-2
"12","2013-08-31 00:00:00",13,-7
"13","2013-09-01 00:00:00",12,-1
"14","2013-09-02 00:00:00",14,2
"15","2013-09-03 00:00:00",21,7
"16","2013-09-04 00:00:00",22,1
"17","2013-09-05 00:00:00",22,0
"18","2013-09-06 00:00:00",20,-2
"19","2013-09-07 00:00:00",14,-6
"20","2013-09-08 00:00:00",14,0
"21","2013-09-09 00:00:00",21,7
"22","2013-09-10 00:00:00",23,2
"23","2013-09-11 00:00:00",24,1
"24","2013-09-12 00:00:00",23,-1
"25","2013-09-13 00:00:00",22,-1
"26","2013-09-14 00:00:00",15,-7
"27","2013-09-15 00:00:00",15,0
"28","2013-09-16 00:00:00",24,9
"29","2013-09-17 00:00:00",27,3
"30","2013-09-18 00:00:00",26,-1
"31","2013-09-19 00:00:00",27,1
"32","2013-09-20 00:00:00",26,-1
"33","2013-09-21 00:00:00",17,-9
"34","2013-09-22 00:00:00",17,0
"35","2013-09-23 00:00:00",27,10
"36","2013-09-24 00:00:00",27,0
"37","2013-09-25 00:00:00",28,1
"38","2013-09-26 00:00:00",31,3
"39","2013-09-27 00:00:00",31,0
"40","2013-09-28 00:00:00",23,-8
"41","2013-09-29 00:00:00",22,-1
"42","2013-09-30 00:00:00",38,16
"43","2013-10-01 00:00:00",53,15
"44","2013-10-02 00:00:00",48,-5
"45","2013-10-03 00:00:00",47,-1
"46","2013-10-04 00:00:00",42,-5
"47","2013-10-05 00:00:00",28,-14
"48","2013-10-06 00:00:00",30,2
"49","2013-10-07 00:00:00",51,21
"50","2013-10-08 00:00:00",71,20
"51","2013-10-09 00:00:00",66,-5
"52","2013-10-10 00:00:00",61,-5
"53","2013-10-11 00:00:00",46,-15
"54","2013-10-12 00:00:00",33,-13
"55","2013-10-13 00:00:00",37,4
"56","2013-10-14 00:00:00",54,17
"57","2013-10-15 00:00:00",66,12
"58","2013-10-16 00:00:00",100,34
"59","2013-10-17 00:00:00",100,0
"60","2013-10-18 00:00:00",43,-57
"61","2013-10-19 00:00:00",28,-15
"62","2013-10-20 00:00:00",26,-2
"63","2013-10-21 00:00:00",34,8
"64","2013-10-22 00:00:00",31,-3
"65","2013-10-23 00:00:00",31,0
"66","2013-10-24 00:00:00",28,-3
"67","2013-10-25 00:00:00",26,-2
"68","2013-10-26 00:00:00",17,-9
"69","2013-10-27 00:00:00",16,-1
"70","2013-10-28 00:00:00",25,9
"71","2013-10-29 00:00:00",29,4
"72","2013-10-30 00:00:00",29,0
"73","2013-10-31 00:00:00",27,-2
"74","2013-11-01 00:00:00",21,-6
"75","2013-11-02 00:00:00",16,-5
"76","2013-11-03 00:00:00",17,1
"77","2013-11-04 00:00:00",25,8
"78","2013-11-05 00:00:00",27,2
"79","2013-11-06 00:00:00",26,-1
"80","2013-11-07 00:00:00",26,0
"81","2013-11-08 00:00:00",23,-3
"82","2013-11-09 00:00:00",15,-8
"83","2013-11-10 00:00:00",16,1
"84","2013-11-11 00:00:00",23,7
"85","2013-11-12 00:00:00",27,4
"86","2013-11-13 00:00:00",26,-1
"87","2013-11-14 00:00:00",25,-1
"88","2013-11-15 00:00:00",24,-1
"89","2013-11-16 00:00:00",17,-7
"90","2013-11-17 00:00:00",NA,NA
"91","2013-11-18 00:00:00",NA,NA
"92","2013-11-19 00:00:00",NA,NA
