Date,Open,High,Low,Close,Volume,Adj Close
"Nov 18, 2013","15,962.72","16,030.28","15,942.17","15,976.02","948,600","15,976.02"
"Nov 15, 2013","15,876.16","15,962.98","15,875.90","15,961.70","1,264,600","15,961.70"
"Nov 14, 2013","15,806.22","15,884.99","15,798.74","15,876.22","1,238,600","15,876.22"
"Nov 13, 2013","15,739.50","15,822.98","15,672.00","15,821.63","924,500","15,821.63"
"Nov 12, 2013","15,773.15","15,793.38","15,708.29","15,750.67","792,600","15,750.67"
"Nov 11, 2013","15,759.28","15,791.45","15,737.22","15,783.10","588,600","15,783.10"
"Nov 8, 2013","15,591.54","15,764.29","15,579.35","15,761.78","1,012,000","15,761.78"
"Nov 7, 2013","15,751.31","15,797.68","15,586.33","15,593.98","1,038,600","15,593.98"
"Nov 6, 2013","15,628.72","15,750.29","15,628.72","15,746.88","1,092,000","15,746.88"
"Nov 5, 2013","15,631.22","15,651.89","15,522.18","15,618.22","918,900","15,618.22"
"Nov 4, 2013","15,621.20","15,658.90","15,588.48","15,639.12","712,000","15,639.12"
"Nov 1, 2013","15,558.01","15,649.40","15,543.25","15,615.55","1,018,300","15,615.55"
"Oct 31, 2013","15,619.92","15,651.86","15,544.69","15,545.75","1,140,500","15,545.75"
"Oct 30, 2013","15,680.70","15,721.00","15,574.50","15,618.80","791,700","15,618.80"
"Oct 29, 2013","15,572.20","15,683.10","15,572.20","15,680.40","866,000","15,680.40"
"Oct 28, 2013","15,569.20","15,599.10","15,533.50","15,568.90","927,600","15,568.90"
"Oct 25, 2013","15,523.70","15,570.60","15,513.00","15,570.30","1,099,000","15,570.30"
"Oct 24, 2013","15,414.90","15,528.60","15,414.10","15,509.20","892,400","15,509.20"
"Oct 23, 2013","15,465.30","15,465.70","15,366.20","15,413.30","906,300","15,413.30"
"Oct 22, 2013","15,394.20","15,518.10","15,394.20","15,467.70","1,070,300","15,467.70"
"Oct 21, 2013","15,401.30","15,410.20","15,362.70","15,392.20","936,600","15,392.20"
"Oct 18, 2013","15,371.70","15,413.00","15,321.80","15,399.70","1,566,600","15,399.70"
"Oct 17, 2013","15,369.50","15,376.10","15,229.00","15,371.70","1,084,900","15,371.70"
"Oct 16, 2013","15,170.70","15,374.20","15,170.70","15,373.80","928,500","15,373.80"
"Oct 15, 2013","15,300.30","15,301.90","15,161.30","15,168.00","914,400","15,168.00"
