"","Date","Open","High","Low","Close","Volume","Adj.Close","daily_returns"
"1","Nov 18, 2013","15,962.72","16,030.28","15,942.17","15,976.02","948,600",15976.02,NA
"2","Nov 15, 2013","15,876.16","15,962.98","15,875.90","15,961.70","1,264,600",15961.7,-0.000896343394662713
"3","Nov 14, 2013","15,806.22","15,884.99","15,798.74","15,876.22","1,238,600",15876.22,-0.00535531929556388
"4","Nov 13, 2013","15,739.50","15,822.98","15,672.00","15,821.63","924,500",15821.63,-0.00343847590925295
"5","Nov 12, 2013","15,773.15","15,793.38","15,708.29","15,750.67","792,600",15750.67,-0.00448499933319124
"6","Nov 11, 2013","15,759.28","15,791.45","15,737.22","15,783.10","588,600",15783.1,0.00205896003154149
"7","Nov 8, 2013","15,591.54","15,764.29","15,579.35","15,761.78","1,012,000",15761.78,-0.00135081194442155
"8","Nov 7, 2013","15,751.31","15,797.68","15,586.33","15,593.98","1,038,600",15593.98,-0.0106460057176284
"9","Nov 6, 2013","15,628.72","15,750.29","15,628.72","15,746.88","1,092,000",15746.88,0.00980506580103335
"10","Nov 5, 2013","15,631.22","15,651.89","15,522.18","15,618.22","918,900",15618.22,-0.00817050742750314
"11","Nov 4, 2013","15,621.20","15,658.90","15,588.48","15,639.12","712,000",15639.12,0.00133818066335345
"12","Nov 1, 2013","15,558.01","15,649.40","15,543.25","15,615.55","1,018,300",15615.55,-0.00150711804756287
"13","Oct 31, 2013","15,619.92","15,651.86","15,544.69","15,545.75","1,140,500",15545.75,-0.0044699033975748
"14","Oct 30, 2013","15,680.70","15,721.00","15,574.50","15,618.80","791,700",15618.8,0.00469903349790135
"15","Oct 29, 2013","15,572.20","15,683.10","15,572.20","15,680.40","866,000",15680.4,0.00394396496529836
"16","Oct 28, 2013","15,569.20","15,599.10","15,533.50","15,568.90","927,600",15568.9,-0.00711078799010234
"17","Oct 25, 2013","15,523.70","15,570.60","15,513.00","15,570.30","1,099,000",15570.3,8.99228590329759e-05
"18","Oct 24, 2013","15,414.90","15,528.60","15,414.10","15,509.20","892,400",15509.2,-0.00392413762098343
"19","Oct 23, 2013","15,465.30","15,465.70","15,366.20","15,413.30","906,300",15413.3,-0.00618342661130178
"20","Oct 22, 2013","15,394.20","15,518.10","15,394.20","15,467.70","1,070,300",15467.7,0.00352941939753348
